Address A,Address B,Packets,Bytes,Packets A → B,Bytes A → B,Packets B → A,Bytes B → A,Rel Start,Duration,Bits/s A → B,Bits/s B → A,Label
10.0.0.11,10.0.0.21,16,2960,8,1480,8,1480,7.535528513,2.969844336,3986.74094,3986.74094,Low
10.0.0.11,10.0.0.24,16,2960,8,1480,8,1480,7.623577718,3.975919795,2977.927275,2977.927275,Low
10.0.0.11,10.0.0.23,16,2960,8,1480,8,1480,7.623581616,3.603501534,3285.693065,3285.693065,Low
10.0.0.11,10.0.0.22,16,2960,8,1480,8,1480,7.623584688,3.243499486,3650.378257,3650.378257,Low
10.0.0.11,10.0.0.25,16,2960,8,1480,8,1480,7.623587509,4.281329887,2765.495842,2765.495842,Low
10.0.0.11,10.0.0.26,24,4440,12,2220,12,2220,7.673897925,4.831181459,3676.119424,3676.119424,Low
10.0.0.11,10.0.0.28,24,4440,12,2220,12,2220,7.717948635,5.682861923,3125.185908,3125.185908,Low
10.0.0.11,10.0.0.27,24,4440,12,2220,12,2220,7.717953349,5.231443183,3394.856711,3394.856711,Low
10.0.0.11,10.0.0.30,24,4440,12,2220,12,2220,7.717956663,6.129736539,2897.351279,2897.351279,Low
10.0.0.11,10.0.0.29,24,4440,12,2220,12,2220,7.717960248,5.954510962,2982.612697,2982.612697,Low
10.0.0.11,10.0.0.31,24,4440,12,2220,12,2220,7.717964173,6.278623818,2828.645339,2828.645339,Low
10.0.0.11,10.0.0.33,24,4440,12,2220,12,2220,7.717966919,7.153770351,2482.606951,2482.606951,Low
10.0.0.11,10.0.0.32,24,4440,12,2220,12,2220,7.717978724,6.769252959,2623.627763,2623.627763,Low
10.0.0.11,10.0.0.34,24,4440,12,2220,12,2220,7.735366206,7.399589247,2400.133225,2400.133225,Low
10.0.0.11,10.0.0.35,24,4440,12,2220,12,2220,7.735369031,7.681081841,2312.174296,2312.174296,Low
10.0.0.11,10.0.0.36,24,4440,12,2220,12,2220,7.735371709,8.238345859,2155.772567,2155.772567,Low
10.0.0.11,10.0.0.37,24,4440,12,2220,12,2220,7.735374982,8.357768751,2124.969059,2124.969059,Low
10.0.0.11,10.0.0.39,24,4440,12,2220,12,2220,7.735377962,9.015178705,1970.010865,1970.010865,Low
10.0.0.11,10.0.0.40,24,4440,12,2220,12,2220,7.735381176,9.21016984,1928.303203,1928.303203,Low
10.0.0.11,10.0.0.38,24,4440,12,2220,12,2220,7.735383861,8.475502527,2095.450971,2095.450971,Low
10.0.0.11,10.0.0.41,24,4440,12,2220,12,2220,7.735386793,9.275787757,1914.662179,1914.662179,Low
