Address A,Address B,Packets,Bytes,Packets A → B,Bytes A → B,Packets B → A,Bytes B → A,Rel Start,Duration,Bits/s A → B,Bits/s B → A,Label
10.0.0.12,10.0.0.13,8,1480,4,740,4,740,12.38528078,20.1461962,293.8519977,293.8519977,
10.0.0.12,10.0.0.35,24,4440,12,2220,12,2220,12.61303883,8.028271891,2212.182178,2212.182178,
10.0.0.12,10.0.0.21,16,2960,8,1480,8,1480,13.60442393,15.24761354,776.5149588,776.5149588,
10.0.0.12,10.0.0.29,24,4440,12,2220,12,2220,14.41842174,6.680254323,2658.581416,2658.581416,
10.0.0.12,10.0.0.43,24,4440,12,2220,12,2220,17.3438356,19.03116985,933.2059005,933.2059005,
10.0.0.12,10.0.0.28,24,4440,12,2220,12,2220,17.4679896,18.88279607,940.5386751,940.5386751,
10.0.0.12,10.0.0.41,24,4440,12,2220,12,2220,17.89526611,9.501013578,1869.274247,1869.274247,
10.0.0.12,10.0.0.37,24,4440,12,2220,12,2220,18.41368309,12.48429318,1422.587546,1422.587546,
10.0.0.12,10.0.0.24,16,2960,8,1480,8,1480,20.50650206,13.86057544,854.2213887,854.2213887,
10.0.0.12,10.0.0.48,24,4440,12,2220,12,2220,23.47736884,3.444224781,5156.457876,5156.457876,
10.0.0.12,10.0.0.40,24,4440,12,2220,12,2220,24.34811881,12.79356149,1388.198276,1388.198276,
10.0.0.12,10.0.0.16,8,1480,4,740,4,740,28.84014213,6.41693533,922.5587754,922.5587754,
10.0.0.12,10.0.0.23,16,2960,8,1480,8,1480,29.55545049,1.083553368,10927.0114,10927.0114,
10.0.0.12,10.0.0.10,8,1480,4,740,4,740,31.03139866,7.339046605,806.6442848,806.6442848,
10.0.0.12,10.0.0.39,24,4440,12,2220,12,2220,34.96638206,3.908332399,4544.137547,4544.137547,
10.0.0.12,10.0.0.49,24,4440,12,2220,12,2220,37.14368346,0.517209725,34338.10143,34338.10143,
10.0.0.13,10.0.0.49,24,4440,12,2220,12,2220,9.130528746,1.651252445,10755.47234,10755.47234,
10.0.0.13,10.0.0.35,24,4440,12,2220,12,2220,13.59235797,14.2949633,1242.395634,1242.395634,
10.0.0.13,10.0.0.44,24,4440,12,2220,12,2220,13.87760599,20.82041935,853.0087557,853.0087557,
10.0.0.13,10.0.0.22,16,2960,8,1480,8,1480,14.33204567,17.11472495,691.8019443,691.8019443,
10.0.0.13,10.0.0.39,24,4440,12,2220,12,2220,14.71494813,7.269189696,2443.188408,2443.188408,
10.0.0.13,10.0.0.30,24,4440,12,2220,12,2220,14.81587241,24.51312728,724.5097616,724.5097616,
10.0.0.13,10.0.0.29,24,4440,12,2220,12,2220,16.56627721,14.32600819,1239.703326,1239.703326,
10.0.0.13,10.0.0.41,24,4440,12,2220,12,2220,21.25636201,1.381260779,12857.81821,12857.81821,
10.0.0.13,10.0.0.17,8,1480,4,740,4,740,27.55531514,3.986832356,1484.88812,1484.88812,
10.0.0.13,10.0.0.43,24,4440,12,2220,12,2220,28.09872219,4.691959392,3785.199,3785.199,
10.0.0.13,10.0.0.26,24,4440,12,2220,12,2220,28.29853773,10.41736646,1704.845468,1704.845468,
10.0.0.13,10.0.0.33,24,4440,12,2220,12,2220,29.76392357,5.954425224,2982.655644,2982.655644,
10.0.0.13,10.0.0.48,24,4440,12,2220,12,2220,33.65360456,5.065805105,3505.859312,3505.859312,
10.0.0.13,10.0.0.21,16,2960,8,1480,8,1480,35.06847676,1.354994092,8738.045479,8738.045479,
10.0.0.13,10.0.0.23,16,2960,8,1480,8,1480,36.84189407,2.133152803,5550.469701,5550.469701,
10.0.0.13,10.0.0.15,8,1480,4,740,4,740,37.36024764,0.970287266,6101.285885,6101.285885,
10.0.0.14,10.0.0.20,16,2960,8,1480,8,1480,7.050753593,19.70954446,600.7241835,600.7241835,
10.0.0.14,10.0.0.33,24,4440,12,2220,12,2220,7.778218678,26.79569095,662.7931348,662.7931348,
10.0.0.14,10.0.0.28,24,4440,12,2220,12,2220,8.708242589,8.286778964,2143.172887,2143.172887,
10.0.0.14,10.0.0.26,24,4440,12,2220,12,2220,11.00132133,8.812084575,2015.414156,2015.414156,
10.0.0.14,10.0.0.30,24,4440,12,2220,12,2220,12.00211629,16.13686305,1100.585656,1100.585656,
10.0.0.14,10.0.0.18,16,2960,8,1480,8,1480,12.29039217,26.14908875,452.7882449,452.7882449,
10.0.0.14,10.0.0.48,24,4440,12,2220,12,2220,12.47306251,19.22349643,923.8693944,923.8693944,
10.0.0.14,10.0.0.25,16,2960,8,1480,8,1480,13.12452817,18.73211721,632.0695021,632.0695021,
10.0.0.14,10.0.0.32,24,4440,12,2220,12,2220,13.17551929,22.85729996,776.9946596,776.9946596,
10.0.0.14,10.0.0.13,8,1480,4,740,4,740,14.50678982,11.44686472,517.1721819,517.1721819,
10.0.0.14,10.0.0.42,24,4440,12,2220,12,2220,15.7855277,18.14223991,978.9309419,978.9309419,
10.0.0.14,10.0.0.10,8,1480,4,740,4,740,20.29135245,18.01386061,328.6358282,328.6358282,
10.0.0.14,10.0.0.23,16,2960,8,1480,8,1480,21.42963926,16.73321321,707.5748006,707.5748006,
10.0.0.14,10.0.0.15,8,1480,4,740,4,740,22.44113242,4.319153876,1370.638826,1370.638826,
10.0.0.14,10.0.0.35,24,4440,12,2220,12,2220,23.05461175,9.47687967,1874.034558,1874.034558,
10.0.0.14,10.0.0.19,16,2960,8,1480,8,1480,26.4203721,3.816556927,3102.272605,3102.272605,
10.0.0.14,10.0.0.12,8,1480,4,740,4,740,29.36661606,5.870790529,1008.382086,1008.382086,
10.0.0.14,10.0.0.39,24,4440,12,2220,12,2220,30.44087257,2.615028506,6791.512964,6791.512964,
10.0.0.14,10.0.0.46,24,4440,12,2220,12,2220,31.96964246,2.338489243,7594.646866,7594.646866,
10.0.0.14,10.0.0.29,24,4440,12,2220,12,2220,33.68163717,3.34358695,5311.66088,5311.66088,
10.0.0.15,10.0.0.32,24,4440,12,2220,12,2220,5.283712735,20.07850814,884.5278682,884.5278682,
10.0.0.15,10.0.0.19,16,2960,8,1480,8,1480,5.832952954,16.06820889,736.8587305,736.8587305,
10.0.0.15,10.0.0.17,8,1480,4,740,4,740,7.776231297,29.62541613,199.8284167,199.8284167,
10.0.0.15,10.0.0.46,24,4440,12,2220,12,2220,8.348191903,4.516181996,3932.525309,3932.525309,
10.0.0.15,10.0.0.23,16,2960,8,1480,8,1480,9.953152926,16.74434592,707.1043598,707.1043598,
10.0.0.15,10.0.0.41,24,4440,12,2220,12,2220,10.25791701,7.62250103,2329.943929,2329.943929,
10.0.0.15,10.0.0.26,24,4440,12,2220,12,2220,11.8072791,21.84965584,812.8274483,812.8274483,
10.0.0.15,10.0.0.49,24,4440,12,2220,12,2220,12.95049058,9.314769449,1906.649445,1906.649445,
10.0.0.15,10.0.0.44,24,4440,12,2220,12,2220,14.11973359,1.659939901,10699.18254,10699.18254,
10.0.0.15,10.0.0.40,24,4440,12,2220,12,2220,14.9457347,7.605239634,2335.232137,2335.232137,
10.0.0.15,10.0.0.47,24,4440,12,2220,12,2220,20.54578401,9.072996894,1957.456859,1957.456859,
10.0.0.15,10.0.0.21,16,2960,8,1480,8,1480,20.8185601,4.122214862,2872.242325,2872.242325,
10.0.0.15,10.0.0.27,24,4440,12,2220,12,2220,21.99862517,17.7046437,1003.126654,1003.126654,
10.0.0.15,10.0.0.48,24,4440,12,2220,12,2220,22.29172571,13.96223114,1272.003008,1272.003008,
10.0.0.15,10.0.0.35,24,4440,12,2220,12,2220,24.03877232,5.704071827,3113.565281,3113.565281,
10.0.0.15,10.0.0.31,24,4440,12,2220,12,2220,32.29812664,6.618425643,2683.417622,2683.417622,
10.0.0.15,10.0.0.45,24,4440,12,2220,12,2220,34.58221012,0.199403016,89065.85445,89065.85445,
10.0.0.16,10.0.0.42,24,4440,12,2220,12,2220,8.983526221,26.46650991,671.0367201,671.0367201,
10.0.0.16,10.0.0.27,24,4440,12,2220,12,2220,9.032931039,19.82250386,895.9513957,895.9513957,
10.0.0.16,10.0.0.47,24,4440,12,2220,12,2220,9.344956761,28.3180576,627.1616597,627.1616597,
10.0.0.16,10.0.0.37,24,4440,12,2220,12,2220,10.30874363,14.03518126,1265.391566,1265.391566,
10.0.0.16,10.0.0.15,8,1480,4,740,4,740,10.78889657,1.018756275,5811.007152,5811.007152,
10.0.0.16,10.0.0.39,24,4440,12,2220,12,2220,11.45106325,11.26720817,1576.255603,1576.255603,
10.0.0.16,10.0.0.38,24,4440,12,2220,12,2220,12.77091974,20.67968961,858.8136637,858.8136637,
10.0.0.16,10.0.0.32,24,4440,12,2220,12,2220,13.36353491,14.43972945,1229.939942,1229.939942,
10.0.0.16,10.0.0.23,16,2960,8,1480,8,1480,13.44672984,18.87605247,627.2497927,627.2497927,
10.0.0.16,10.0.0.14,8,1480,4,740,4,740,13.72833926,16.52418757,358.2626968,358.2626968,
10.0.0.16,10.0.0.13,8,1480,4,740,4,740,13.98869857,16.86723309,350.9763556,350.9763556,
10.0.0.16,10.0.0.41,24,4440,12,2220,12,2220,15.30159636,7.977166481,2226.354438,2226.354438,
10.0.0.16,10.0.0.29,24,4440,12,2220,12,2220,15.87427873,15.01799403,1182.581373,1182.581373,
