No.,Time,Source,Destination,Protocol,Length,Info
1229,5.393448219,127.0.0.1,127.0.0.1,OpenFlow,215,Type: OFPT_PACKET_IN[Malformed Packet]
1230,5.393533669,127.0.0.1,127.0.0.1,OpenFlow,221,Type: OFPT_PACKET_OUT[Malformed Packet]
1231,5.393948185,127.0.0.1,127.0.0.1,OpenFlow,221,Type: OFPT_PACKET_OUT[Malformed Packet]
1232,5.393957009,127.0.0.1,127.0.0.1,OpenFlow,221,Type: OFPT_PACKET_OUT[Malformed Packet]
1238,5.442949185,127.0.0.1,127.0.0.1,OpenFlow,318,Type: OFPT_PACKET_IN
1239,5.443164699,127.0.0.1,127.0.0.1,OpenFlow,324,Type: OFPT_PACKET_OUT[Malformed Packet]
1241,5.45986412,127.0.0.1,127.0.0.1,OpenFlow,215,Type: OFPT_PACKET_IN[Malformed Packet]
1242,5.4600333,127.0.0.1,127.0.0.1,OpenFlow,221,Type: OFPT_PACKET_OUT[Malformed Packet]
1244,5.462511594,127.0.0.1,127.0.0.1,OpenFlow,318,Type: OFPT_PACKET_IN
1245,5.46268239,127.0.0.1,127.0.0.1,OpenFlow,324,Type: OFPT_PACKET_OUT[Malformed Packet]
1247,5.50500312,127.0.0.1,127.0.0.1,OpenFlow,206,Type: OFPT_PACKET_IN[Malformed Packet]
1248,5.505202162,127.0.0.1,127.0.0.1,OpenFlow,204,Type: OFPT_PACKET_OUT[Malformed Packet]
1250,5.560006253,127.0.0.1,127.0.0.1,OpenFlow,318,Type: OFPT_PACKET_IN
1251,5.560221866,127.0.0.1,127.0.0.1,OpenFlow,324,Type: OFPT_PACKET_OUT[Malformed Packet]
1253,5.560662916,127.0.0.1,127.0.0.1,OpenFlow,318,Type: OFPT_PACKET_IN
1254,5.560735434,127.0.0.1,127.0.0.1,OpenFlow,318,Type: OFPT_PACKET_IN
1255,5.560753927,127.0.0.1,127.0.0.1,OpenFlow,318,Type: OFPT_PACKET_IN
1256,5.560803568,127.0.0.1,127.0.0.1,OpenFlow,324,Type: OFPT_PACKET_OUT[Malformed Packet]
1257,5.560813767,127.0.0.1,127.0.0.1,OpenFlow,324,Type: OFPT_PACKET_OUT[Malformed Packet]
1258,5.560821455,127.0.0.1,127.0.0.1,OpenFlow,324,Type: OFPT_PACKET_OUT[Malformed Packet]
1262,5.61812589,127.0.0.1,127.0.0.1,OpenFlow,318,Type: OFPT_PACKET_IN
1263,5.618328249,127.0.0.1,127.0.0.1,OpenFlow,324,Type: OFPT_PACKET_OUT[Malformed Packet]
1265,5.61870066,127.0.0.1,127.0.0.1,OpenFlow,318,Type: OFPT_PACKET_IN
1266,5.618782766,127.0.0.1,127.0.0.1,OpenFlow,318,Type: OFPT_PACKET_IN
1267,5.618795873,127.0.0.1,127.0.0.1,OpenFlow,318,Type: OFPT_PACKET_IN
1268,5.618877179,127.0.0.1,127.0.0.1,OpenFlow,324,Type: OFPT_PACKET_OUT[Malformed Packet]
1269,5.61893625,127.0.0.1,127.0.0.1,OpenFlow,324,Type: OFPT_PACKET_OUT[Malformed Packet]
1270,5.618945803,127.0.0.1,127.0.0.1,OpenFlow,324,Type: OFPT_PACKET_OUT[Malformed Packet]
1274,5.633125341,127.0.0.1,127.0.0.1,OpenFlow,226,Type: OFPT_PACKET_IN[Malformed Packet]
1275,5.633312174,127.0.0.1,127.0.0.1,OpenFlow,224,Type: OFPT_PACKET_OUT[Malformed Packet]
1277,5.642802685,127.0.0.1,127.0.0.1,OpenFlow,306,Type: OFPT_PACKET_IN[Malformed Packet]
1278,5.643069628,127.0.0.1,127.0.0.1,OpenFlow,312,Type: OFPT_PACKET_OUT[Malformed Packet]
1280,5.715533009,127.0.0.1,127.0.0.1,OpenFlow,318,Type: OFPT_PACKET_IN
1281,5.715789739,127.0.0.1,127.0.0.1,OpenFlow,324,Type: OFPT_PACKET_OUT[Malformed Packet]
1283,5.760661986,127.0.0.1,127.0.0.1,OpenFlow,306,Type: OFPT_PACKET_IN[Malformed Packet]
1284,5.76085148,127.0.0.1,127.0.0.1,OpenFlow,312,Type: OFPT_PACKET_OUT[Malformed Packet]
1286,5.761146684,127.0.0.1,127.0.0.1,OpenFlow,306,Type: OFPT_PACKET_IN[Malformed Packet]
1287,5.761217775,127.0.0.1,127.0.0.1,OpenFlow,306,Type: OFPT_PACKET_IN[Malformed Packet]
1288,5.761234739,127.0.0.1,127.0.0.1,OpenFlow,306,Type: OFPT_PACKET_IN[Malformed Packet]
1289,5.761286325,127.0.0.1,127.0.0.1,OpenFlow,312,Type: OFPT_PACKET_OUT[Malformed Packet]
1290,5.761295743,127.0.0.1,127.0.0.1,OpenFlow,312,Type: OFPT_PACKET_OUT[Malformed Packet]
1291,5.76130261,127.0.0.1,127.0.0.1,OpenFlow,312,Type: OFPT_PACKET_OUT[Malformed Packet]
1295,5.788879678,127.0.0.1,127.0.0.1,OpenFlow,206,Type: OFPT_PACKET_IN[Malformed Packet]
1296,5.789164083,127.0.0.1,127.0.0.1,OpenFlow,204,Type: OFPT_PACKET_OUT[Malformed Packet]
1297,5.789478522,127.0.0.1,127.0.0.1,OpenFlow,198,Type: OFPT_PACKET_IN[Malformed Packet]
1298,5.789551956,127.0.0.1,127.0.0.1,OpenFlow,198,Type: OFPT_PACKET_IN[Malformed Packet]
1299,5.789563154,127.0.0.1,127.0.0.1,OpenFlow,198,Type: OFPT_PACKET_IN[Malformed Packet]
1300,5.789635978,127.0.0.1,127.0.0.1,OpenFlow,204,Type: OFPT_PACKET_OUT[Malformed Packet]
1301,5.789687943,127.0.0.1,127.0.0.1,OpenFlow,204,Type: OFPT_PACKET_OUT[Malformed Packet]
1302,5.789695958,127.0.0.1,127.0.0.1,OpenFlow,204,Type: OFPT_PACKET_OUT[Malformed Packet]
1304,5.817482615,127.0.0.1,127.0.0.1,OpenFlow,306,Type: OFPT_PACKET_IN[Malformed Packet]
1305,5.81767474,127.0.0.1,127.0.0.1,OpenFlow,312,Type: OFPT_PACKET_OUT[Malformed Packet]
1306,5.817976783,127.0.0.1,127.0.0.1,OpenFlow,306,Type: OFPT_PACKET_IN[Malformed Packet]
1307,5.81805372,127.0.0.1,127.0.0.1,OpenFlow,306,Type: OFPT_PACKET_IN[Malformed Packet]
1308,5.818065709,127.0.0.1,127.0.0.1,OpenFlow,306,Type: OFPT_PACKET_IN[Malformed Packet]
1309,5.818140876,127.0.0.1,127.0.0.1,OpenFlow,312,Type: OFPT_PACKET_OUT[Malformed Packet]
1310,5.818196813,127.0.0.1,127.0.0.1,OpenFlow,312,Type: OFPT_PACKET_OUT[Malformed Packet]
1311,5.818204876,127.0.0.1,127.0.0.1,OpenFlow,312,Type: OFPT_PACKET_OUT[Malformed Packet]
1312,5.824989041,127.0.0.1,127.0.0.1,OpenFlow,226,Type: OFPT_PACKET_IN[Malformed Packet]
1313,5.825188006,127.0.0.1,127.0.0.1,OpenFlow,224,Type: OFPT_PACKET_OUT[Malformed Packet]
1314,5.825486916,127.0.0.1,127.0.0.1,OpenFlow,218,Type: OFPT_PACKET_IN[Malformed Packet]
1315,5.825556443,127.0.0.1,127.0.0.1,OpenFlow,218,Type: OFPT_PACKET_IN[Malformed Packet]
1316,5.825568352,127.0.0.1,127.0.0.1,OpenFlow,218,Type: OFPT_PACKET_IN[Malformed Packet]
1317,5.825645272,127.0.0.1,127.0.0.1,OpenFlow,224,Type: OFPT_PACKET_OUT[Malformed Packet]
1318,5.825770178,127.0.0.1,127.0.0.1,OpenFlow,224,Type: OFPT_PACKET_OUT[Malformed Packet]
1319,5.825777653,127.0.0.1,127.0.0.1,OpenFlow,224,Type: OFPT_PACKET_OUT[Malformed Packet]
1320,5.829465661,127.0.0.1,127.0.0.1,OpenFlow,215,Type: OFPT_PACKET_IN[Malformed Packet]
1321,5.829722426,127.0.0.1,127.0.0.1,OpenFlow,221,Type: OFPT_PACKET_OUT[Malformed Packet]
1346,5.916319567,127.0.0.1,127.0.0.1,OpenFlow,306,Type: OFPT_PACKET_IN[Malformed Packet]
1347,5.917422408,127.0.0.1,127.0.0.1,OpenFlow,312,Type: OFPT_PACKET_OUT[Malformed Packet]
1349,5.940744424,127.0.0.1,127.0.0.1,OpenFlow,215,Type: OFPT_PACKET_IN[Malformed Packet]
1350,5.940896914,127.0.0.1,127.0.0.1,OpenFlow,221,Type: OFPT_PACKET_OUT[Malformed Packet]
1352,5.94123711,127.0.0.1,127.0.0.1,OpenFlow,215,Type: OFPT_PACKET_IN[Malformed Packet]
1353,5.941308243,127.0.0.1,127.0.0.1,OpenFlow,215,Type: OFPT_PACKET_IN[Malformed Packet]
1354,5.941327113,127.0.0.1,127.0.0.1,OpenFlow,215,Type: OFPT_PACKET_IN[Malformed Packet]
1355,5.941389248,127.0.0.1,127.0.0.1,OpenFlow,221,Type: OFPT_PACKET_OUT[Malformed Packet]
1356,5.941436368,127.0.0.1,127.0.0.1,OpenFlow,221,Type: OFPT_PACKET_OUT[Malformed Packet]
1357,5.941445585,127.0.0.1,127.0.0.1,OpenFlow,221,Type: OFPT_PACKET_OUT[Malformed Packet]
1361,6.004761738,127.0.0.1,127.0.0.1,OpenFlow,215,Type: OFPT_PACKET_IN[Malformed Packet]
1362,6.004957143,127.0.0.1,127.0.0.1,OpenFlow,221,Type: OFPT_PACKET_OUT[Malformed Packet]
1364,6.005256966,127.0.0.1,127.0.0.1,OpenFlow,215,Type: OFPT_PACKET_IN[Malformed Packet]
1365,6.0053274,127.0.0.1,127.0.0.1,OpenFlow,215,Type: OFPT_PACKET_IN[Malformed Packet]
1366,6.005338732,127.0.0.1,127.0.0.1,OpenFlow,215,Type: OFPT_PACKET_IN[Malformed Packet]
1367,6.005401445,127.0.0.1,127.0.0.1,OpenFlow,221,Type: OFPT_PACKET_OUT[Malformed Packet]
1368,6.005410308,127.0.0.1,127.0.0.1,OpenFlow,221,Type: OFPT_PACKET_OUT[Malformed Packet]
1369,6.005417449,127.0.0.1,127.0.0.1,OpenFlow,221,Type: OFPT_PACKET_OUT[Malformed Packet]
1373,6.096544282,127.0.0.1,127.0.0.1,OpenFlow,215,Type: OFPT_PACKET_IN[Malformed Packet]
1374,6.098590472,127.0.0.1,127.0.0.1,OpenFlow,221,Type: OFPT_PACKET_OUT[Malformed Packet]
1376,6.129899749,127.0.0.1,127.0.0.1,OpenFlow,306,Type: OFPT_PACKET_IN[Malformed Packet]
1377,6.130116275,127.0.0.1,127.0.0.1,OpenFlow,312,Type: OFPT_PACKET_OUT[Malformed Packet]
1379,6.130408191,127.0.0.1,127.0.0.1,OpenFlow,306,Type: OFPT_PACKET_IN[Malformed Packet]
1380,6.130485632,127.0.0.1,127.0.0.1,OpenFlow,306,Type: OFPT_PACKET_IN[Malformed Packet]
1381,6.130498195,127.0.0.1,127.0.0.1,OpenFlow,306,Type: OFPT_PACKET_IN[Malformed Packet]
1382,6.13054674,127.0.0.1,127.0.0.1,OpenFlow,312,Type: OFPT_PACKET_OUT[Malformed Packet]
1383,6.130557522,127.0.0.1,127.0.0.1,OpenFlow,312,Type: OFPT_PACKET_OUT[Malformed Packet]
1385,6.130567144,127.0.0.1,127.0.0.1,OpenFlow,312,Type: OFPT_PACKET_OUT[Malformed Packet]
1408,6.224484989,127.0.0.1,127.0.0.1,OpenFlow,306,Type: OFPT_PACKET_IN[Malformed Packet]
1409,6.224871334,127.0.0.1,127.0.0.1,OpenFlow,312,Type: OFPT_PACKET_OUT[Malformed Packet]
1411,6.239207504,127.0.0.1,127.0.0.1,OpenFlow,178,Type: OFPT_PACKET_IN[Malformed Packet]
1412,6.239460898,127.0.0.1,127.0.0.1,OpenFlow,184,Type: OFPT_PACKET_OUT[Malformed Packet]
1414,6.240957285,127.0.0.1,127.0.0.1,OpenFlow,178,Type: OFPT_PACKET_IN[Malformed Packet]
1415,6.241122955,127.0.0.1,127.0.0.1,OpenFlow,184,Type: OFPT_PACKET_OUT[Malformed Packet]
1416,6.241229073,127.0.0.1,127.0.0.1,OpenFlow,178,Type: OFPT_PACKET_IN[Malformed Packet]
1418,6.24134408,127.0.0.1,127.0.0.1,OpenFlow,184,Type: OFPT_PACKET_OUT[Malformed Packet]
1419,6.241374224,127.0.0.1,127.0.0.1,OpenFlow,178,Type: OFPT_PACKET_IN[Malformed Packet]
1420,6.241504948,127.0.0.1,127.0.0.1,OpenFlow,184,Type: OFPT_PACKET_OUT[Malformed Packet]
1421,6.24150077,127.0.0.1,127.0.0.1,OpenFlow,178,Type: OFPT_PACKET_IN[Malformed Packet]
1422,6.241675881,127.0.0.1,127.0.0.1,OpenFlow,178,Type: OFPT_PACKET_IN[Malformed Packet]
1423,6.241685632,127.0.0.1,127.0.0.1,OpenFlow,178,Type: OFPT_PACKET_IN[Malformed Packet]
1425,6.241776856,127.0.0.1,127.0.0.1,OpenFlow,184,Type: OFPT_PACKET_OUT[Malformed Packet]
1426,6.241785413,127.0.0.1,127.0.0.1,OpenFlow,184,Type: OFPT_PACKET_OUT[Malformed Packet]
1427,6.241791524,127.0.0.1,127.0.0.1,OpenFlow,184,Type: OFPT_PACKET_OUT[Malformed Packet]
1429,6.241972007,127.0.0.1,127.0.0.1,OpenFlow,178,Type: OFPT_PACKET_IN[Malformed Packet]
1430,6.24204722,127.0.0.1,127.0.0.1,OpenFlow,178,Type: OFPT_PACKET_IN[Malformed Packet]
1431,6.242057198,127.0.0.1,127.0.0.1,OpenFlow,178,Type: OFPT_PACKET_IN[Malformed Packet]
1432,6.242103894,127.0.0.1,127.0.0.1,OpenFlow,184,Type: OFPT_PACKET_OUT[Malformed Packet]
1433,6.242111844,127.0.0.1,127.0.0.1,OpenFlow,184,Type: OFPT_PACKET_OUT[Malformed Packet]
1434,6.242117247,127.0.0.1,127.0.0.1,OpenFlow,184,Type: OFPT_PACKET_OUT[Malformed Packet]
1440,6.380219451,127.0.0.1,127.0.0.1,OpenFlow,306,Type: OFPT_PACKET_IN[Malformed Packet]
1441,6.380651978,127.0.0.1,127.0.0.1,OpenFlow,312,Type: OFPT_PACKET_OUT[Malformed Packet]
1443,6.380969461,127.0.0.1,127.0.0.1,OpenFlow,306,Type: OFPT_PACKET_IN[Malformed Packet]
1444,6.381044106,127.0.0.1,127.0.0.1,OpenFlow,306,Type: OFPT_PACKET_IN[Malformed Packet]
1445,6.381055177,127.0.0.1,127.0.0.1,OpenFlow,306,Type: OFPT_PACKET_IN[Malformed Packet]
1446,6.381146686,127.0.0.1,127.0.0.1,OpenFlow,312,Type: OFPT_PACKET_OUT[Malformed Packet]
1447,6.38119838,127.0.0.1,127.0.0.1,OpenFlow,312,Type: OFPT_PACKET_OUT[Malformed Packet]
1449,6.381209128,127.0.0.1,127.0.0.1,OpenFlow,312,Type: OFPT_PACKET_OUT[Malformed Packet]
1452,6.443443323,127.0.0.1,127.0.0.1,OpenFlow,306,Type: OFPT_PACKET_IN[Malformed Packet]
1453,6.443657672,127.0.0.1,127.0.0.1,OpenFlow,312,Type: OFPT_PACKET_OUT[Malformed Packet]
1455,6.493886382,127.0.0.1,127.0.0.1,OpenFlow,178,Type: OFPT_PACKET_IN[Malformed Packet]
1456,6.493952036,127.0.0.1,127.0.0.1,OpenFlow,178,Type: OFPT_PACKET_IN[Malformed Packet]
1457,6.494091429,127.0.0.1,127.0.0.1,OpenFlow,184,Type: OFPT_PACKET_OUT[Malformed Packet]
1458,6.494152512,127.0.0.1,127.0.0.1,OpenFlow,184,Type: OFPT_PACKET_OUT[Malformed Packet]
1460,6.494355757,127.0.0.1,127.0.0.1,OpenFlow,178,Type: OFPT_PACKET_IN[Malformed Packet]
1461,6.494415812,127.0.0.1,127.0.0.1,OpenFlow,178,Type: OFPT_PACKET_IN[Malformed Packet]
1462,6.494497349,127.0.0.1,127.0.0.1,OpenFlow,184,Type: OFPT_PACKET_OUT[Malformed Packet]
1463,6.494549534,127.0.0.1,127.0.0.1,OpenFlow,184,Type: OFPT_PACKET_OUT[Malformed Packet]
1465,6.494761701,127.0.0.1,127.0.0.1,OpenFlow,178,Type: OFPT_PACKET_IN[Malformed Packet]
1466,6.494821727,127.0.0.1,127.0.0.1,OpenFlow,178,Type: OFPT_PACKET_IN[Malformed Packet]
1467,6.494844738,127.0.0.1,127.0.0.1,OpenFlow,178,Type: OFPT_PACKET_IN[Malformed Packet]
1468,6.494849051,127.0.0.1,127.0.0.1,OpenFlow,178,Type: OFPT_PACKET_IN[Malformed Packet]
1469,6.494857409,127.0.0.1,127.0.0.1,OpenFlow,178,Type: OFPT_PACKET_IN[Malformed Packet]
1470,6.494861822,127.0.0.1,127.0.0.1,OpenFlow,178,Type: OFPT_PACKET_IN[Malformed Packet]
1471,6.494966682,127.0.0.1,127.0.0.1,OpenFlow,184,Type: OFPT_PACKET_OUT[Malformed Packet]
1472,6.495031055,127.0.0.1,127.0.0.1,OpenFlow,184,Type: OFPT_PACKET_OUT[Malformed Packet]
1473,6.495039679,127.0.0.1,127.0.0.1,OpenFlow,184,Type: OFPT_PACKET_OUT[Malformed Packet]
1475,6.495049007,127.0.0.1,127.0.0.1,OpenFlow,184,Type: OFPT_PACKET_OUT[Malformed Packet]
1477,6.495056481,127.0.0.1,127.0.0.1,OpenFlow,184,Type: OFPT_PACKET_OUT[Malformed Packet]
1478,6.495061832,127.0.0.1,127.0.0.1,OpenFlow,184,Type: OFPT_PACKET_OUT[Malformed Packet]
1481,6.498026705,127.0.0.1,127.0.0.1,OpenFlow,178,Type: OFPT_PACKET_IN[Malformed Packet]
1482,6.498212157,127.0.0.1,127.0.0.1,OpenFlow,184,Type: OFPT_PACKET_OUT[Malformed Packet]
1483,6.498484136,127.0.0.1,127.0.0.1,OpenFlow,178,Type: OFPT_PACKET_IN[Malformed Packet]
1484,6.498551928,127.0.0.1,127.0.0.1,OpenFlow,178,Type: OFPT_PACKET_IN[Malformed Packet]
1485,6.498562463,127.0.0.1,127.0.0.1,OpenFlow,178,Type: OFPT_PACKET_IN[Malformed Packet]
1486,6.498571324,127.0.0.1,127.0.0.1,OpenFlow,178,Type: OFPT_PACKET_IN[Malformed Packet]
1487,6.498620338,127.0.0.1,127.0.0.1,OpenFlow,184,Type: OFPT_PACKET_OUT[Malformed Packet]
1488,6.498629635,127.0.0.1,127.0.0.1,OpenFlow,184,Type: OFPT_PACKET_OUT[Malformed Packet]
1489,6.498636742,127.0.0.1,127.0.0.1,OpenFlow,184,Type: OFPT_PACKET_OUT[Malformed Packet]
1490,6.498643706,127.0.0.1,127.0.0.1,OpenFlow,184,Type: OFPT_PACKET_OUT[Malformed Packet]
1516,6.751455827,127.0.0.1,127.0.0.1,OpenFlow,178,Type: OFPT_PACKET_IN[Malformed Packet]
1517,6.755311937,127.0.0.1,127.0.0.1,OpenFlow,184,Type: OFPT_PACKET_OUT[Malformed Packet]
1519,6.757260448,127.0.0.1,127.0.0.1,OpenFlow,178,Type: OFPT_PACKET_IN[Malformed Packet]
1520,6.757473121,127.0.0.1,127.0.0.1,OpenFlow,178,Type: OFPT_PACKET_IN[Malformed Packet]
1521,6.757479676,127.0.0.1,127.0.0.1,OpenFlow,178,Type: OFPT_PACKET_IN[Malformed Packet]
1522,6.757506367,127.0.0.1,127.0.0.1,OpenFlow,184,Type: OFPT_PACKET_OUT[Malformed Packet]
1523,6.757522448,127.0.0.1,127.0.0.1,OpenFlow,184,Type: OFPT_PACKET_OUT[Malformed Packet]
1525,6.757531504,127.0.0.1,127.0.0.1,OpenFlow,184,Type: OFPT_PACKET_OUT[Malformed Packet]
1527,6.757595637,127.0.0.1,127.0.0.1,OpenFlow,178,Type: OFPT_PACKET_IN[Malformed Packet]
1528,6.757746851,127.0.0.1,127.0.0.1,OpenFlow,184,Type: OFPT_PACKET_OUT[Malformed Packet]
1529,6.757848784,127.0.0.1,127.0.0.1,OpenFlow,178,Type: OFPT_PACKET_IN[Malformed Packet]
1530,6.757904571,127.0.0.1,127.0.0.1,OpenFlow,178,Type: OFPT_PACKET_IN[Malformed Packet]
1531,6.757909068,127.0.0.1,127.0.0.1,OpenFlow,178,Type: OFPT_PACKET_IN[Malformed Packet]
1532,6.757923176,127.0.0.1,127.0.0.1,OpenFlow,178,Type: OFPT_PACKET_IN[Malformed Packet]
1533,6.757934342,127.0.0.1,127.0.0.1,OpenFlow,178,Type: OFPT_PACKET_IN[Malformed Packet]
1534,6.757938884,127.0.0.1,127.0.0.1,OpenFlow,178,Type: OFPT_PACKET_IN[Malformed Packet]
1535,6.757942315,127.0.0.1,127.0.0.1,OpenFlow,178,Type: OFPT_PACKET_IN[Malformed Packet]
1536,6.75795162,127.0.0.1,127.0.0.1,OpenFlow,178,Type: OFPT_PACKET_IN[Malformed Packet]
1537,6.757956059,127.0.0.1,127.0.0.1,OpenFlow,178,Type: OFPT_PACKET_IN[Malformed Packet]
1538,6.757959486,127.0.0.1,127.0.0.1,OpenFlow,178,Type: OFPT_PACKET_IN[Malformed Packet]
1539,6.758003569,127.0.0.1,127.0.0.1,OpenFlow,184,Type: OFPT_PACKET_OUT[Malformed Packet]
1541,6.758061695,127.0.0.1,127.0.0.1,OpenFlow,184,Type: OFPT_PACKET_OUT[Malformed Packet]
1543,6.758070248,127.0.0.1,127.0.0.1,OpenFlow,184,Type: OFPT_PACKET_OUT[Malformed Packet]
1545,6.758079911,127.0.0.1,127.0.0.1,OpenFlow,184,Type: OFPT_PACKET_OUT[Malformed Packet]
1546,6.758088014,127.0.0.1,127.0.0.1,OpenFlow,184,Type: OFPT_PACKET_OUT[Malformed Packet]
1548,6.75809556,127.0.0.1,127.0.0.1,OpenFlow,184,Type: OFPT_PACKET_OUT[Malformed Packet]
1550,6.758103411,127.0.0.1,127.0.0.1,OpenFlow,184,Type: OFPT_PACKET_OUT[Malformed Packet]
1552,6.758111604,127.0.0.1,127.0.0.1,OpenFlow,184,Type: OFPT_PACKET_OUT[Malformed Packet]
1554,6.758119921,127.0.0.1,127.0.0.1,OpenFlow,184,Type: OFPT_PACKET_OUT[Malformed Packet]
1556,6.758126632,127.0.0.1,127.0.0.1,OpenFlow,184,Type: OFPT_PACKET_OUT[Malformed Packet]
1560,6.810662269,127.0.0.1,127.0.0.1,OpenFlow,306,Type: OFPT_PACKET_IN[Malformed Packet]
1561,6.810872721,127.0.0.1,127.0.0.1,OpenFlow,312,Type: OFPT_PACKET_OUT[Malformed Packet]
1563,6.92771923,127.0.0.1,127.0.0.1,OpenFlow,306,Type: OFPT_PACKET_IN[Malformed Packet]
1564,6.927899091,127.0.0.1,127.0.0.1,OpenFlow,312,Type: OFPT_PACKET_OUT[Malformed Packet]
1566,6.928233864,127.0.0.1,127.0.0.1,OpenFlow,306,Type: OFPT_PACKET_IN[Malformed Packet]
1567,6.928305711,127.0.0.1,127.0.0.1,OpenFlow,306,Type: OFPT_PACKET_IN[Malformed Packet]
1568,6.928321735,127.0.0.1,127.0.0.1,OpenFlow,306,Type: OFPT_PACKET_IN[Malformed Packet]
1569,6.928409313,127.0.0.1,127.0.0.1,OpenFlow,312,Type: OFPT_PACKET_OUT[Malformed Packet]
1571,6.928466938,127.0.0.1,127.0.0.1,OpenFlow,312,Type: OFPT_PACKET_OUT[Malformed Packet]
1572,6.928476284,127.0.0.1,127.0.0.1,OpenFlow,312,Type: OFPT_PACKET_OUT[Malformed Packet]
1575,6.985238559,127.0.0.1,127.0.0.1,OpenFlow,306,Type: OFPT_PACKET_IN[Malformed Packet]
1576,6.985419896,127.0.0.1,127.0.0.1,OpenFlow,312,Type: OFPT_PACKET_OUT[Malformed Packet]
1578,6.985745625,127.0.0.1,127.0.0.1,OpenFlow,306,Type: OFPT_PACKET_IN[Malformed Packet]
1579,6.985813779,127.0.0.1,127.0.0.1,OpenFlow,306,Type: OFPT_PACKET_IN[Malformed Packet]
1580,6.985825692,127.0.0.1,127.0.0.1,OpenFlow,306,Type: OFPT_PACKET_IN[Malformed Packet]
1581,6.985884064,127.0.0.1,127.0.0.1,OpenFlow,312,Type: OFPT_PACKET_OUT[Malformed Packet]
1583,6.985940616,127.0.0.1,127.0.0.1,OpenFlow,312,Type: OFPT_PACKET_OUT[Malformed Packet]
1584,6.985948311,127.0.0.1,127.0.0.1,OpenFlow,312,Type: OFPT_PACKET_OUT[Malformed Packet]
1587,7.005297524,127.0.0.1,127.0.0.1,OpenFlow,178,Type: OFPT_PACKET_IN[Malformed Packet]
1588,7.005507808,127.0.0.1,127.0.0.1,OpenFlow,184,Type: OFPT_PACKET_OUT[Malformed Packet]
1589,7.005705915,127.0.0.1,127.0.0.1,OpenFlow,178,Type: OFPT_PACKET_IN[Malformed Packet]
1590,7.005751847,127.0.0.1,127.0.0.1,OpenFlow,184,Type: OFPT_PACKET_OUT[Malformed Packet]
1591,7.005913116,127.0.0.1,127.0.0.1,OpenFlow,178,Type: OFPT_PACKET_IN[Malformed Packet]
1592,7.005926903,127.0.0.1,127.0.0.1,OpenFlow,178,Type: OFPT_PACKET_IN[Malformed Packet]
1593,7.005941204,127.0.0.1,127.0.0.1,OpenFlow,178,Type: OFPT_PACKET_IN[Malformed Packet]
1594,7.005983141,127.0.0.1,127.0.0.1,OpenFlow,184,Type: OFPT_PACKET_OUT[Malformed Packet]
1595,7.005992129,127.0.0.1,127.0.0.1,OpenFlow,184,Type: OFPT_PACKET_OUT[Malformed Packet]
1596,7.005998873,127.0.0.1,127.0.0.1,OpenFlow,184,Type: OFPT_PACKET_OUT[Malformed Packet]
1598,7.009424514,127.0.0.1,127.0.0.1,OpenFlow,178,Type: OFPT_PACKET_IN[Malformed Packet]
1599,7.009441806,127.0.0.1,127.0.0.1,OpenFlow,178,Type: OFPT_PACKET_IN[Malformed Packet]
1600,7.009447058,127.0.0.1,127.0.0.1,OpenFlow,178,Type: OFPT_PACKET_IN[Malformed Packet]
1601,7.009464515,127.0.0.1,127.0.0.1,OpenFlow,178,Type: OFPT_PACKET_IN[Malformed Packet]
1602,7.009534491,127.0.0.1,127.0.0.1,OpenFlow,184,Type: OFPT_PACKET_OUT[Malformed Packet]
1603,7.009549864,127.0.0.1,127.0.0.1,OpenFlow,184,Type: OFPT_PACKET_OUT[Malformed Packet]
1604,7.00955518,127.0.0.1,127.0.0.1,OpenFlow,184,Type: OFPT_PACKET_OUT[Malformed Packet]
1605,7.009561799,127.0.0.1,127.0.0.1,OpenFlow,184,Type: OFPT_PACKET_OUT[Malformed Packet]
1607,7.009988946,127.0.0.1,127.0.0.1,OpenFlow,178,Type: OFPT_PACKET_IN[Malformed Packet]
1608,7.009995252,127.0.0.1,127.0.0.1,OpenFlow,178,Type: OFPT_PACKET_IN[Malformed Packet]
1609,7.009998553,127.0.0.1,127.0.0.1,OpenFlow,178,Type: OFPT_PACKET_IN[Malformed Packet]
1610,7.010093354,127.0.0.1,127.0.0.1,OpenFlow,178,Type: OFPT_PACKET_IN[Malformed Packet]
1611,7.010102982,127.0.0.1,127.0.0.1,OpenFlow,178,Type: OFPT_PACKET_IN[Malformed Packet]
1612,7.010111158,127.0.0.1,127.0.0.1,OpenFlow,178,Type: OFPT_PACKET_IN[Malformed Packet]
1613,7.010120012,127.0.0.1,127.0.0.1,OpenFlow,178,Type: OFPT_PACKET_IN[Malformed Packet]
1614,7.010167403,127.0.0.1,127.0.0.1,OpenFlow,184,Type: OFPT_PACKET_OUT[Malformed Packet]
1615,7.010175533,127.0.0.1,127.0.0.1,OpenFlow,184,Type: OFPT_PACKET_OUT[Malformed Packet]
1616,7.01018181,127.0.0.1,127.0.0.1,OpenFlow,184,Type: OFPT_PACKET_OUT[Malformed Packet]
1617,7.01018764,127.0.0.1,127.0.0.1,OpenFlow,184,Type: OFPT_PACKET_OUT[Malformed Packet]
1618,7.010193609,127.0.0.1,127.0.0.1,OpenFlow,184,Type: OFPT_PACKET_OUT[Malformed Packet]
