Address A,Address B,Packets,Bytes,Packets A → B,Bytes A → B,Packets B → A,Bytes B → A,Rel Start,Duration,Bits/s A → B,Bits/s B → A
10.0.0.31,10.0.0.42,24,4440,12,2220,12,2220,5.456864979,0.983151375,18064.35962,18064.35962
10.0.0.31,10.0.0.28,8,1480,4,740,4,740,5.548058123,2.491707506,2375.880791,2375.880791
10.0.0.31,10.0.0.46,24,4440,12,2220,12,2220,5.548065151,3.559303313,4989.74053,4989.74053
10.0.0.31,10.0.0.11,24,5036,12,2816,12,2220,5.548068428,6.163286948,3655.192463,2881.579286
10.0.0.31,10.0.0.14,24,4440,12,2220,12,2220,5.680702142,7.175353709,2475.139306,2475.139306
10.0.0.31,10.0.0.49,24,4440,12,2220,12,2220,5.898839772,1.741876117,10195.90304,10195.90304
10.0.0.31,10.0.0.35,24,4440,12,2220,12,2220,6.13551977,3.316767114,5354.611702,5354.611702
10.0.0.31,10.0.0.30,8,1480,4,740,4,740,6.511400473,0.568952228,10405.09151,10405.09151
10.0.0.31,10.0.0.26,8,1480,4,740,4,740,7.175845728,0.151817249,38994.25157,38994.25157
10.0.0.31,10.0.0.24,16,2960,8,1480,8,1480,7.194982633,0.160204927,73905.3425,73905.3425
10.0.0.31,10.0.0.47,24,4440,12,2220,12,2220,7.678019619,3.694458637,4807.199578,4807.199578
10.0.0.31,10.0.0.40,24,4440,12,2220,12,2220,7.874530403,2.033073522,8735.542423,8735.542423
10.0.0.31,10.0.0.21,16,2960,8,1480,8,1480,8.029050611,1.400277583,8455.466362,8455.466362
10.0.0.31,10.0.0.12,24,4440,12,2220,12,2220,8.426514695,2.883534878,6159.107051,6159.107051
10.0.0.31,10.0.0.41,24,4440,12,2220,12,2220,10.55158622,1.86058024,9545.40934,9545.40934
10.0.0.31,10.0.0.45,24,4452,12,2220,12,2232,10.60789884,0.237293044,74844.1661,75248.72916
10.0.0.31,10.0.0.44,24,4440,12,2220,12,2220,10.81286251,0.559628412,31735.3437,31735.3437
10.0.0.32,10.0.0.44,24,4440,12,2220,12,2220,5.548050729,4.216098459,4212.425344,4212.425344
10.0.0.32,10.0.0.15,24,4440,12,2220,12,2220,5.566362864,3.885890218,4570.381304,4570.381304
10.0.0.32,10.0.0.41,24,4440,12,2220,12,2220,5.636234503,3.437605222,5166.387311,5166.387311
10.0.0.32,10.0.0.16,24,4440,12,2220,12,2220,5.680697982,1.498245896,11853.86194,11853.86194
10.0.0.32,10.0.0.29,8,1480,4,740,4,740,5.831297307,5.360722331,1104.328789,1104.328789
10.0.0.32,10.0.0.36,24,4440,12,2220,12,2220,6.078563753,0.910812129,19499.08157,19499.08157
10.0.0.32,10.0.0.21,16,2960,8,1480,8,1480,6.102973242,6.532235964,1812.549342,1812.549342
10.0.0.32,10.0.0.48,24,4440,12,2220,12,2220,6.13552877,3.324262138,5342.538964,5342.538964
10.0.0.32,10.0.0.39,24,4440,12,2220,12,2220,6.135557927,3.6288184,4894.155078,4894.155078
10.0.0.32,10.0.0.38,24,4440,12,2220,12,2220,6.143566849,1.035405355,17152.70248,17152.70248
10.0.0.32,10.0.0.28,8,1480,4,740,4,740,6.254427958,2.642170077,2240.582486,2240.582486
10.0.0.32,10.0.0.19,16,2960,8,1480,8,1480,6.331583736,3.720757525,3182.1477,3182.1477
10.0.0.32,10.0.0.12,24,4440,12,2220,12,2220,6.568401079,4.741623898,3745.552237,3745.552237
10.0.0.32,10.0.0.42,24,4440,12,2220,12,2220,6.883634124,6.225941102,2852.580792,2852.580792
10.0.0.32,10.0.0.45,24,4440,12,2220,12,2220,6.883696106,2.157330049,8232.398194,8232.398194
10.0.0.32,10.0.0.11,24,4440,12,2220,12,2220,6.941866296,2.096073496,8472.985338,8472.985338
10.0.0.32,10.0.0.34,24,4440,12,2220,12,2220,7.608466322,2.175970776,8161.874321,8161.874321
10.0.0.32,10.0.0.14,24,4440,12,2220,12,2220,7.677980739,4.51882502,3930.225207,3930.225207
10.0.0.32,10.0.0.40,24,4440,12,2220,12,2220,8.008794123,2.115703376,8394.371442,8394.371442
